2021-07-10 08:39:07 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-10 08:39:07 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-10 08:53:19 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-10 08:53:19 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-27 16:23:31 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-27 16:23:31 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-28 16:43:06 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-28 16:43:06 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-29 11:30:21 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-29 11:30:21 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-30 16:44:23 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-30 16:44:23 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-30 22:24:38 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-30 22:24:38 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-31 01:24:42 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-31 01:24:42 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-31 01:40:03 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-31 01:40:03 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-31 03:44:05 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-31 03:44:05 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-31 03:53:33 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-31 03:53:33 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-31 05:26:50 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-31 05:26:50 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-31 21:24:20 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-31 21:24:20 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-07-31 21:40:06 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-07-31 21:40:06 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
2021-08-01 09:27:18 | razer                          | CRITICAL | User is not a member of the plugdev group
2021-08-01 09:27:18 | razer                          | CRITICAL | Please run the command 'sudo gpasswd -a $USER plugdev' and then reboot!
